design_id,player_id,repeats,games_per_repeat,total_games,num_battles,trait_aggressiveness,trait_risk_tolerance,trait_tempo,trait_bluffiness,trait_stubbornness,trait_domination_drive,trait_herding,trait_ev_adherence,trait_exploration,winrate_percent,wins
26,0,3,192,576,3,2,30,48,84,12,36,24,100,6,9.201,53
26,1,3,192,576,3,72,42,18,92,66,44,80,32,5,22.569,130
26,2,3,192,576,3,80,60,60,84,38,30,16,2,5,50.694,292
26,3,3,192,576,3,84,52,74,72,78,24,32,80,2,17.188,99
27,0,3,192,576,3,46,94,88,48,42,24,50,56,9,14.931,86
27,1,3,192,576,3,80,4,40,18,14,20,48,0,4,40.278,232
27,2,3,192,576,3,74,10,24,52,92,76,94,40,3,25.174,145
27,3,3,192,576,3,72,32,78,44,8,92,12,64,4,19.444,112
28,0,3,192,576,3,84,22,12,56,100,68,48,16,4,49.132,283
28,1,3,192,576,3,46,66,88,64,84,100,52,72,9,12.500,72
28,2,3,192,576,3,24,92,80,44,14,8,30,92,10,11.979,69
28,3,3,192,576,3,6,100,8,96,62,40,54,38,5,26.042,150
29,0,3,192,576,3,90,84,28,72,76,100,68,72,8,24.653,142
29,1,3,192,576,3,62,24,96,0,58,76,64,58,8,28.125,162
29,2,3,192,576,3,60,36,28,8,80,22,44,24,4,27.431,158
29,3,3,192,576,3,90,12,34,32,46,36,22,94,0,19.271,111
30,0,3,192,576,3,28,0,52,36,34,44,32,4,3,35.764,206
30,1,3,192,576,3,16,60,28,54,42,6,36,16,3,33.681,194
30,2,3,192,576,3,40,68,70,90,0,92,80,76,9,14.931,86
30,3,3,192,576,3,28,68,52,80,98,84,66,20,9,15.104,87
31,0,3,192,576,3,24,64,12,100,12,4,94,38,1,31.944,184
31,1,3,192,576,3,32,100,0,30,90,32,92,48,6,23.090,133
31,2,3,192,576,3,10,16,8,72,56,38,12,68,1,15.799,91
31,3,3,192,576,3,14,40,100,8,18,4,92,36,7,27.778,160
32,0,3,192,576,3,58,46,88,8,54,62,8,86,7,7.639,44
32,1,3,192,576,3,92,36,72,76,10,52,8,78,1,21.701,125
32,2,3,192,576,3,90,82,88,24,24,72,64,18,7,43.750,252
32,3,3,192,576,3,52,78,18,52,64,56,48,62,4,26.562,153
33,0,3,192,576,3,56,84,60,44,30,66,100,98,3,22.049,127
33,1,3,192,576,3,30,0,12,28,56,84,64,84,4,26.215,151
33,2,3,192,576,3,32,100,88,76,16,40,34,52,6,20.486,118
33,3,3,192,576,3,92,72,44,56,28,32,92,12,10,30.729,177
34,0,3,192,576,3,24,6,34,52,84,22,0,26,8,21.354,123
34,1,3,192,576,3,96,64,60,80,44,10,36,42,9,26.910,155
34,2,3,192,576,3,68,4,16,28,92,76,92,0,1,38.368,221
34,3,3,192,576,3,24,8,64,8,80,78,48,86,1,13.194,76
35,0,3,192,576,3,30,68,80,14,58,36,76,18,7,35.417,204
35,1,3,192,576,3,52,76,82,4,88,36,92,22,0,22.049,127
35,2,3,192,576,3,88,52,56,10,40,20,24,44,9,24.479,141
35,3,3,192,576,3,18,76,84,80,12,10,20,72,3,17.535,101
36,0,3,192,576,3,88,48,6,78,2,80,26,60,2,46.528,268
36,1,3,192,576,3,24,38,40,52,12,60,8,52,5,24.132,139
36,2,3,192,576,3,12,44,48,92,66,90,50,92,3,11.458,66
36,3,3,192,576,3,52,44,4,32,56,62,64,44,6,17.361,100
37,0,3,192,576,3,88,58,40,94,22,60,56,4,6,41.840,241
37,1,3,192,576,3,84,94,28,12,32,66,20,68,7,9.028,52
37,2,3,192,576,3,96,76,96,56,28,80,72,28,8,36.458,210
37,3,3,192,576,3,44,56,28,96,48,66,12,88,1,12.153,70
38,0,3,192,576,3,44,26,66,0,68,4,44,68,1,11.979,69
38,1,3,192,576,3,42,34,100,66,68,40,80,8,1,47.222,272
38,2,3,192,576,3,4,20,0,48,54,12,0,76,4,11.806,68
38,3,3,192,576,3,84,14,60,40,96,18,56,16,8,28.299,163
39,0,3,192,576,3,0,88,20,64,92,40,82,86,5,17.882,103
39,1,3,192,576,3,12,20,70,40,12,14,48,28,8,29.861,172
39,2,3,192,576,3,48,72,64,16,4,56,84,66,7,13.542,78
39,3,3,192,576,3,72,96,88,68,14,100,76,28,7,38.368,221
40,0,3,192,576,3,68,22,94,28,44,96,18,40,10,17.882,103
40,1,3,192,576,3,64,56,4,88,86,92,52,100,3,9.549,55
40,2,3,192,576,3,52,32,32,86,80,28,44,16,0,56.250,324
40,3,3,192,576,3,12,36,20,20,68,48,32,56,5,15.451,89
41,0,3,192,576,3,72,74,16,8,80,86,52,12,5,34.722,200
41,1,3,192,576,3,12,56,20,72,20,28,12,20,6,25.521,147
41,2,3,192,576,3,88,62,92,44,8,88,10,56,2,26.910,155
41,3,3,192,576,3,76,20,96,88,52,36,2,80,7,12.326,71
42,0,3,192,576,3,12,42,92,96,36,30,48,64,0,17.014,98
42,1,3,192,576,3,60,16,56,24,80,52,88,58,1,17.535,101
42,2,3,192,576,3,12,42,12,60,86,4,64,8,5,37.153,214
42,3,3,192,576,3,40,60,16,50,4,86,60,4,4,27.951,161
43,0,3,192,576,3,40,80,44,36,8,16,78,80,4,12.500,72
43,1,3,192,576,3,92,28,78,100,24,78,44,76,10,34.549,199
43,2,3,192,576,3,44,88,72,80,32,52,46,50,3,39.757,229
43,3,3,192,576,3,2,30,32,66,86,4,84,40,0,13.021,75
44,0,3,192,576,3,78,12,70,70,52,72,24,44,9,36.632,211
44,1,3,192,576,3,34,92,50,46,76,4,56,48,5,23.438,135
44,2,3,192,576,3,56,8,30,24,62,32,80,100,10,12.847,74
44,3,3,192,576,3,68,88,52,22,32,54,28,64,9,25.868,149
45,0,3,192,576,3,96,94,84,58,72,92,92,92,3,15.104,87
45,1,3,192,576,3,74,48,32,82,94,20,72,32,4,28.646,165
45,2,3,192,576,3,28,64,76,36,44,48,96,34,4,16.493,95
45,3,3,192,576,3,36,0,76,60,72,74,96,20,4,39.062,225
46,0,3,192,576,3,34,16,8,48,18,48,8,32,8,40.278,232
46,1,3,192,576,3,4,84,92,36,6,96,28,92,8,13.715,79
46,2,3,192,576,3,72,34,20,68,76,68,32,84,9,21.875,126
46,3,3,192,576,3,94,68,8,2,22,24,40,96,5,23.785,137
47,0,3,192,576,3,14,52,56,88,40,12,66,22,6,24.479,141
47,1,3,192,576,3,44,72,64,60,52,72,96,74,2,13.542,78
47,2,3,192,576,3,80,84,56,98,20,14,60,72,1,32.465,187
47,3,3,192,576,3,62,48,40,86,88,92,16,60,9,29.167,168
48,0,3,192,576,3,54,32,30,20,96,56,32,52,1,17.014,98
48,1,3,192,576,3,80,12,10,8,48,46,4,4,7,34.722,200
48,2,3,192,576,3,20,18,40,4,100,96,14,24,7,25.868,149
48,3,3,192,576,3,20,84,72,26,44,44,72,36,2,22.049,127
49,0,3,192,576,3,52,56,90,66,6,46,6,20,0,29.167,168
49,1,3,192,576,3,40,8,32,92,34,56,68,20,10,31.250,180
49,2,3,192,576,3,82,94,8,16,96,64,90,64,7,8.854,51
49,3,3,192,576,3,24,58,12,98,0,32,8,34,4,30.035,173
50,0,3,192,576,3,16,36,16,28,60,88,96,54,5,14.410,83
50,1,3,192,576,3,88,70,96,38,64,26,32,56,5,22.396,129
50,2,3,192,576,3,18,2,88,82,24,44,36,12,0,47.743,275
50,3,3,192,576,3,56,24,80,40,56,82,52,56,7,14.931,86
51,0,3,192,576,3,36,98,72,88,82,52,30,90,9,24.826,143
51,1,3,192,576,3,66,82,74,64,16,0,88,84,6,19.792,114
51,2,3,192,576,3,36,54,26,52,68,100,54,30,8,34.201,197
51,3,3,192,576,3,100,92,72,76,36,0,80,100,8,20.486,118
52,0,3,192,576,3,96,18,48,6,28,8,68,36,4,33.160,191
52,1,3,192,576,3,6,48,4,16,84,80,12,38,1,22.222,128
52,2,3,192,576,3,64,50,72,46,50,16,20,80,5,13.021,75
52,3,3,192,576,3,32,26,40,12,84,52,36,22,0,30.556,176
53,0,3,192,576,3,80,76,12,16,48,28,38,76,8,11.458,66
53,1,3,192,576,3,98,90,16,56,60,94,22,28,2,41.146,237
53,2,3,192,576,3,46,80,22,8,56,2,4,40,9,28.646,165
53,3,3,192,576,3,64,64,14,52,24,70,92,68,5,18.403,106
54,0,3,192,576,3,40,8,86,76,94,84,60,48,3,27.604,159
54,1,3,192,576,3,24,26,56,2,40,24,78,94,7,18.576,107
54,2,3,192,576,3,54,22,80,88,36,82,70,90,4,22.049,127
54,3,3,192,576,3,4,4,96,12,70,20,48,42,3,31.076,179
55,0,3,192,576,3,8,72,26,40,64,72,12,8,2,19.792,114
55,1,3,192,576,3,22,12,86,78,92,48,48,64,3,16.146,93
55,2,3,192,576,3,96,72,40,68,82,36,40,54,6,21.354,123
55,3,3,192,576,3,40,84,56,76,40,90,22,0,2,42.014,242
56,0,3,192,576,3,72,38,52,56,20,14,88,68,7,21.181,122
56,1,3,192,576,3,56,52,40,30,8,68,52,12,8,32.986,190
56,2,3,192,576,3,4,26,60,28,12,54,88,4,2,24.306,140
56,3,3,192,576,3,80,44,36,36,92,40,66,76,9,21.181,122
57,0,3,192,576,3,64,92,36,84,56,4,48,84,9,34.201,197
57,1,3,192,576,3,4,60,36,10,96,8,18,80,0,15.278,88
57,2,3,192,576,3,38,56,14,96,78,8,68,70,1,23.264,134
57,3,3,192,576,3,8,10,60,58,76,24,98,52,2,26.910,155
58,0,3,192,576,3,4,24,60,24,10,60,54,42,3,16.493,95
58,1,3,192,576,3,70,24,88,58,4,88,82,46,5,36.979,213
58,2,3,192,576,3,62,40,82,0,4,76,6,20,6,26.042,150
58,3,3,192,576,3,72,72,28,4,30,78,42,26,9,20.139,116
59,0,3,192,576,3,50,62,0,60,32,96,20,0,2,26.736,154
59,1,3,192,576,3,76,36,66,32,54,62,38,12,4,22.917,132
59,2,3,192,576,3,92,92,46,32,52,28,78,36,4,14.062,81
59,3,3,192,576,3,84,38,24,82,60,8,14,16,6,35.938,207
60,0,3,192,576,3,80,28,76,46,76,40,78,72,7,35.764,206
60,1,3,192,576,3,48,98,6,86,46,32,60,60,9,31.076,179
60,2,3,192,576,3,8,12,52,64,28,60,48,88,8,16.493,95
60,3,3,192,576,3,48,80,92,30,8,56,70,92,3,16.146,93
61,0,3,192,576,3,94,66,64,32,98,20,10,16,1,39.757,229
61,1,3,192,576,3,58,40,24,48,24,44,72,70,8,12.674,73
61,2,3,192,576,3,76,68,4,78,64,68,28,46,3,27.951,161
61,3,3,192,576,3,56,18,68,94,100,64,6,48,8,19.444,112
62,0,3,192,576,3,26,44,40,74,44,64,90,62,6,17.708,102
62,1,3,192,576,3,18,80,52,96,76,64,28,4,3,49.479,285
62,2,3,192,576,3,24,36,96,20,42,40,100,96,9,17.535,101
62,3,3,192,576,3,12,52,48,44,44,12,62,76,1,14.931,86
63,0,3,192,576,3,20,84,100,8,16,76,36,94,10,18.403,106
63,1,3,192,576,3,36,68,80,20,28,88,96,36,7,25.521,147
63,2,3,192,576,3,28,84,36,38,90,92,16,60,2,28.125,162
63,3,3,192,576,3,32,34,4,66,64,94,82,82,5,27.431,158
64,0,3,192,576,3,62,2,24,96,68,34,66,28,4,32.812,189
64,1,3,192,576,3,88,4,46,74,72,18,4,90,2,12.674,73
64,2,3,192,576,3,72,12,66,60,16,24,56,10,5,33.333,192
64,3,3,192,576,3,88,98,84,22,16,48,24,8,7,20.660,119
65,0,3,192,576,3,62,88,96,24,84,12,58,36,2,25.174,145
65,1,3,192,576,3,32,74,86,32,76,98,26,20,1,25.694,148
65,2,3,192,576,3,42,64,32,92,28,64,76,28,2,26.562,153
65,3,3,192,576,3,88,64,72,28,8,100,32,60,9,21.875,126
66,0,3,192,576,3,20,20,22,80,32,68,40,90,7,16.146,93
66,1,3,192,576,3,92,10,40,84,22,22,74,52,6,38.715,223
66,2,3,192,576,3,58,32,64,12,54,48,2,78,5,13.715,79
66,3,3,192,576,3,30,4,40,86,60,48,76,32,2,30.729,177
67,0,3,192,576,3,26,60,68,46,2,84,84,54,8,18.924,109
67,1,3,192,576,3,60,48,16,12,70,48,6,86,4,13.889,80
67,2,3,192,576,3,90,88,0,30,2,96,84,68,3,30.903,178
67,3,3,192,576,3,12,86,12,0,32,68,56,24,3,35.590,205
68,0,3,192,576,3,92,24,44,60,56,26,16,20,3,38.889,224
68,1,3,192,576,3,14,86,58,56,28,72,94,40,10,16.146,93
68,2,3,192,576,3,10,16,96,72,80,20,40,16,10,30.556,176
68,3,3,192,576,3,56,44,80,62,76,16,12,96,6,13.889,80
69,0,3,192,576,3,82,68,4,74,68,8,98,68,10,23.611,136
69,1,3,192,576,3,80,30,72,20,2,52,84,32,8,28.646,165
69,2,3,192,576,3,80,60,48,84,14,0,32,52,4,25.347,146
69,3,3,192,576,3,48,58,56,24,16,12,64,42,1,22.222,128
70,0,3,192,576,3,48,48,80,32,24,52,4,8,5,38.194,220
70,1,3,192,576,3,44,92,0,74,98,28,16,96,3,14.062,81
70,2,3,192,576,3,20,44,56,18,92,84,92,0,9,18.056,104
70,3,3,192,576,3,84,24,36,64,64,60,20,68,8,28.993,167
71,0,3,192,576,3,6,84,32,96,44,88,72,48,1,18.750,108
71,1,3,192,576,3,2,54,28,50,46,4,60,64,7,18.056,104
71,2,3,192,576,3,26,88,16,50,40,36,24,44,1,33.854,195
71,3,3,192,576,3,72,92,16,48,44,30,48,76,7,28.472,164
72,0,3,192,576,3,64,4,56,12,90,44,28,76,6,8.854,51
72,1,3,192,576,3,74,16,94,96,52,76,40,12,2,49.826,287
72,2,3,192,576,3,74,8,88,52,66,56,52,92,7,6.597,38
72,3,3,192,576,3,8,28,96,90,100,80,92,2,5,34.375,198
73,0,3,192,576,3,72,52,30,28,36,32,92,72,9,19.097,110
73,1,3,192,576,3,24,20,80,64,40,40,76,80,9,16.667,96
73,2,3,192,576,3,86,76,40,24,44,8,96,32,6,29.688,171
73,3,3,192,576,3,78,16,24,16,84,92,72,28,7,34.028,196
74,0,3,192,576,3,8,32,54,68,80,76,6,0,4,36.806,212
74,1,3,192,576,3,50,58,44,16,60,68,24,44,4,31.597,182
74,2,3,192,576,3,14,20,56,80,74,76,28,84,1,10.243,59
74,3,3,192,576,3,40,52,92,72,36,44,16,52,4,21.354,123
75,0,3,192,576,3,40,96,8,4,52,64,68,44,1,18.576,107
75,1,3,192,576,3,96,96,24,92,8,92,56,16,6,44.965,259
75,2,3,192,576,3,34,74,22,60,20,32,62,72,9,23.785,137
75,3,3,192,576,3,4,32,58,44,56,74,40,92,0,12.674,73
76,0,3,192,576,3,78,14,82,88,8,20,32,84,5,18.924,109
76,1,3,192,576,3,32,32,52,40,92,16,44,62,1,9.896,57
76,2,3,192,576,3,66,28,76,42,100,60,14,22,3,39.062,225
76,3,3,192,576,3,64,100,28,94,0,22,96,16,8,32.118,185
77,0,3,192,576,3,96,80,72,78,20,38,52,28,2,53.819,310
77,1,3,192,576,3,66,76,68,76,64,10,32,72,2,19.444,112
77,2,3,192,576,3,50,98,32,4,8,70,12,58,8,14.583,84
77,3,3,192,576,3,32,12,2,32,92,6,28,72,3,11.806,68
78,0,3,192,576,3,36,12,46,16,72,94,50,96,6,11.979,69
78,1,3,192,576,3,12,40,8,32,36,84,68,4,7,23.264,134
78,2,3,192,576,3,50,6,72,100,88,40,64,6,4,35.764,206
78,3,3,192,576,3,100,70,84,80,40,54,84,50,6,28.819,166
79,0,3,192,576,3,16,76,92,56,94,56,76,62,8,13.542,78
79,1,3,192,576,3,40,2,36,56,84,58,12,36,3,26.042,150
79,2,3,192,576,3,96,52,12,68,32,92,44,48,7,35.590,205
79,3,3,192,576,3,58,40,68,8,68,36,60,8,9,24.479,141
80,0,3,192,576,3,52,40,16,38,40,0,24,16,3,53.993,311
80,1,3,192,576,3,80,64,90,4,16,36,88,88,8,26.215,151
80,2,3,192,576,3,4,44,92,36,60,24,80,100,0,5.556,32
80,3,3,192,576,3,24,80,50,56,24,88,4,84,2,13.889,80
81,0,3,192,576,3,52,72,52,98,60,100,40,58,4,32.986,190
81,1,3,192,576,3,48,68,70,100,4,64,30,82,5,13.021,75
81,2,3,192,576,3,92,66,62,44,56,42,6,40,1,48.611,280
81,3,3,192,576,3,20,54,84,20,32,90,68,86,4,5.035,29
82,0,3,192,576,3,16,40,28,8,4,44,60,18,9,16.319,94
82,1,3,192,576,3,78,6,4,46,96,44,70,40,0,32.465,187
82,2,3,192,576,3,8,36,42,52,36,72,72,88,6,8.681,50
82,3,3,192,576,3,60,14,4,68,88,38,24,12,7,42.188,243
83,0,3,192,576,3,32,76,86,68,28,6,16,26,5,22.049,127
83,1,3,192,576,3,68,44,26,72,48,18,0,24,9,34.896,201
83,2,3,192,576,3,40,82,80,84,82,20,38,54,4,17.882,103
83,3,3,192,576,3,96,96,44,46,4,68,46,46,8,25.000,144
84,0,3,192,576,3,98,8,12,36,82,62,84,98,0,25.000,144
84,1,3,192,576,3,4,80,98,24,50,88,100,52,4,13.715,79
84,2,3,192,576,3,60,16,24,12,12,88,84,4,8,40.451,233
84,3,3,192,576,3,36,36,64,92,52,20,88,70,0,20.139,116
85,0,3,192,576,3,76,96,48,48,92,80,4,40,7,28.472,164
85,1,3,192,576,3,88,36,84,60,80,88,86,68,3,21.528,124
85,2,3,192,576,3,30,58,72,26,94,80,88,64,3,16.493,95
85,3,3,192,576,3,66,74,88,30,44,0,34,12,5,33.160,191
86,0,3,192,576,3,42,20,72,60,48,36,96,88,2,19.792,114
86,1,3,192,576,3,36,100,44,8,20,6,16,8,8,23.958,138
86,2,3,192,576,3,70,38,26,72,24,10,36,14,9,36.806,212
86,3,3,192,576,3,2,8,20,84,88,52,78,90,4,19.444,112
87,0,3,192,576,3,10,56,12,20,20,24,28,70,3,5.382,31
87,1,3,192,576,3,18,62,16,80,72,32,60,26,1,34.201,197
87,2,3,192,576,3,76,92,90,88,70,60,56,32,2,51.910,299
87,3,3,192,576,3,42,76,28,4,20,34,52,52,2,8.160,47
88,0,3,192,576,3,72,36,88,86,64,68,72,4,8,37.153,214
88,1,3,192,576,3,60,24,62,36,26,60,42,98,6,11.458,66
88,2,3,192,576,3,24,12,8,8,48,24,22,80,5,14.236,82
88,3,3,192,576,3,76,42,60,58,72,82,8,32,9,37.153,214
89,0,3,192,576,3,68,82,22,52,10,56,12,44,7,25.000,144
89,1,3,192,576,3,8,16,64,6,68,24,80,16,5,17.882,103
89,2,3,192,576,3,36,80,68,64,66,84,26,48,7,22.049,127
89,3,3,192,576,3,10,2,32,36,56,96,28,6,1,34.896,201
90,0,3,192,576,3,0,4,98,44,56,12,88,80,2,15.972,92
90,1,3,192,576,3,68,52,12,52,32,96,20,56,10,43.576,251
90,2,3,192,576,3,64,24,36,34,40,4,96,96,0,21.007,121
90,3,3,192,576,3,70,68,50,76,12,46,84,78,10,19.097,110
91,0,3,192,576,3,44,64,38,80,76,48,36,66,4,24.826,143
91,1,3,192,576,3,86,88,32,28,88,70,50,76,1,20.312,117
91,2,3,192,576,3,84,68,98,4,88,52,20,60,8,29.688,171
91,3,3,192,576,3,86,48,98,12,80,64,60,64,6,24.826,143
92,0,3,192,576,3,88,44,64,16,32,92,64,12,9,32.292,186
92,1,3,192,576,3,40,28,92,80,12,50,50,50,6,16.319,94
92,2,3,192,576,3,16,28,6,94,16,34,58,10,5,32.986,190
92,3,3,192,576,3,48,82,16,52,28,12,4,38,3,17.882,103
93,0,3,192,576,3,88,62,78,0,42,74,44,52,4,34.722,200
93,1,3,192,576,3,56,84,76,42,44,24,34,34,7,34.201,197
93,2,3,192,576,3,100,96,52,58,76,48,68,68,9,19.444,112
93,3,3,192,576,3,50,20,42,16,68,8,68,96,8,10.938,63
94,0,3,192,576,3,32,28,4,92,96,16,56,24,10,19.444,112
94,1,3,192,576,3,20,44,48,88,56,56,64,92,2,9.722,56
94,2,3,192,576,3,0,0,46,40,4,68,8,20,4,31.076,179
94,3,3,192,576,3,16,60,72,72,12,58,12,20,1,39.236,226
95,0,3,192,576,3,24,92,62,28,70,32,20,34,6,32.812,189
95,1,3,192,576,3,26,8,20,12,12,80,8,72,9,13.194,76
95,2,3,192,576,3,44,56,84,20,52,12,76,36,6,24.306,140
95,3,3,192,576,3,26,28,76,38,96,26,44,36,5,28.993,167
96,0,3,192,576,3,56,24,36,64,16,88,80,92,1,10.243,59
96,1,3,192,576,3,98,72,52,66,88,0,92,0,4,39.583,228
